method,param,param_value,iteration,time,cuts,objectif
PL1,C,3,3,0.0309545,0,40.0
MCTS0_10,C,3,3,0.0266968,0,26.0
MCTS10,C,3,3,0.0147186,0,32.0
MCTS0_20,C,3,3,0.0596838,0,29.0
MCTS20,C,3,3,0.0289642,0,32.0
MCTS0_50,C,3,3,0.1266732,0,25.0
MCTS50,C,3,3,0.062551599,0,33.0
MCTS0_100,C,3,3,0.2701792,0,28.0
MCTS100,C,3,3,0.125319201,0,34.0
MCTS0_200,C,3,3,0.536988999,0,25.0
MCTS200,C,3,3,0.2417829,0,33.0
PL1,C,3,4,0.0167744,0,47.0
MCTS0_10,C,3,4,0.0305232,0,26.0
MCTS10,C,3,4,0.020951801,0,41.0
MCTS0_20,C,3,4,0.0576229,0,38.0
MCTS20,C,3,4,0.0264812,0,42.0
MCTS0_50,C,3,4,0.137411899,0,30.0
MCTS50,C,3,4,0.065124,0,41.0
MCTS0_100,C,3,4,0.2366387,0,38.0
MCTS100,C,3,4,0.121355201,0,43.0
MCTS0_200,C,3,4,0.354194299,0,40.0
MCTS200,C,3,4,0.1496251,0,44.0
PL1,C,3,5,0.0159766,0,41.0
MCTS0_10,C,3,5,0.0274501,0,32.0
MCTS10,C,3,5,0.012066601,0,40.0
MCTS0_20,C,3,5,0.046561001,0,20.0
MCTS20,C,3,5,0.0236735,0,41.0
MCTS0_50,C,3,5,0.1400964,0,29.0
MCTS50,C,3,5,0.061331,0,40.0
MCTS0_100,C,3,5,0.2786044,0,33.0
MCTS100,C,3,5,0.129979401,0,41.0
MCTS0_200,C,3,5,0.5496587,0,30.0
MCTS200,C,3,5,0.254194401,0,41.0
PL1,C,4,1,0.1114505,0,42.0
MCTS0_10,C,4,1,0.020363699,0,23.0
MCTS10,C,4,1,0.0103905,0,40.0
MCTS0_20,C,4,1,0.046141799,0,23.0
MCTS20,C,4,1,0.025528799,0,34.0
MCTS0_50,C,4,1,0.163797999,0,30.0
MCTS50,C,4,1,0.0552363,0,40.0
MCTS0_100,C,4,1,0.345097,0,27.0
MCTS100,C,4,1,0.1329795,0,40.0
MCTS0_200,C,4,1,0.8253041,0,34.0
MCTS200,C,4,1,0.2560008,0,40.0
PL1,C,4,2,0.0799248,0,42.0
MCTS0_10,C,4,2,0.037943401,0,18.0
MCTS10,C,4,2,0.0138055,0,34.0
MCTS0_20,C,4,2,0.0836964,0,25.0
MCTS20,C,4,2,0.028349399,0,34.0
MCTS0_50,C,4,2,0.1630825,0,20.0
MCTS50,C,4,2,0.0645275,0,34.0
MCTS0_100,C,4,2,0.3483129,0,26.0
MCTS100,C,4,2,0.134054299,0,36.0
MCTS0_200,C,4,2,0.7268314,0,26.0
MCTS200,C,4,2,0.4582266,0,34.0
PL1,C,4,3,0.024526901,0,37.0
MCTS0_10,C,4,3,0.020289999,0,23.0
MCTS10,C,4,3,0.0122794,0,24.0
MCTS0_20,C,4,3,0.061633501,0,21.0
MCTS20,C,4,3,0.0234132,0,35.0
MCTS0_50,C,4,3,0.135439,0,25.0
MCTS50,C,4,3,0.054685399,0,32.0
MCTS0_100,C,4,3,0.2693094,0,23.0
MCTS100,C,4,3,0.1158269,0,32.0
MCTS0_200,C,4,3,0.719463699,0,31.0
MCTS200,C,4,3,0.2257545,0,35.0
PL1,C,4,4,0.0863124,0,43.0
MCTS0_10,C,4,4,0.028265101,0,15.0
MCTS10,C,4,4,0.0145164,0,34.0
MCTS0_20,C,4,4,0.046558599,0,23.0
MCTS20,C,4,4,0.0238925,0,32.0
MCTS0_50,C,4,4,0.1494227,0,28.0
MCTS50,C,4,4,0.056200099,0,33.0
MCTS0_100,C,4,4,0.329496699,0,23.0
MCTS100,C,4,4,0.112022599,0,33.0
MCTS0_200,C,4,4,0.738130799,0,30.0
MCTS200,C,4,4,0.224747801,0,33.0
PL1,C,4,5,0.0528709,0,43.00000000000001
MCTS0_10,C,4,5,0.033992,0,28.0
MCTS10,C,4,5,0.013042999,0,37.0
MCTS0_20,C,4,5,0.0575991,0,21.0
MCTS20,C,4,5,0.02496,0,38.0
MCTS0_50,C,4,5,0.1398209,0,20.0
MCTS50,C,4,5,0.055981199,0,37.0
MCTS0_100,C,4,5,0.3493365,0,28.0
MCTS100,C,4,5,0.104868201,0,34.0
MCTS0_200,C,4,5,0.6699942,0,31.0
MCTS200,C,4,5,0.2232537,0,37.0
PL1,C,5,1,0.0433248,0,46.0
MCTS0_10,C,5,1,0.024661,0,24.0
MCTS10,C,5,1,0.0178714,0,37.0
MCTS0_20,C,5,1,0.055539999,0,18.0
MCTS20,C,5,1,0.0302654,0,35.0
MCTS0_50,C,5,1,0.207295901,0,23.0
MCTS50,C,5,1,0.0713719,0,36.0
MCTS0_100,C,5,1,0.4772346,0,21.0
MCTS100,C,5,1,0.4090252,0,34.0
MCTS0_200,C,5,1,1.2434023,0,27.0
MCTS200,C,5,1,0.9136491,0,34.0
